code,airport_name
BNE,Brisbane Airport
BNF,Warm Springs Bay Seaplane Base
BNG,Banning Municipal Airport
BNI,Benin Airport
BNK,Ballina Byron Gateway Airport
BNL,Barnwell Regional Airport
BNM,Bodinumu Airport
BNN,"Brønnøysund Airport, Brønnøy"
BNO,Burns Municipal Airport
BNP,Bannu Airport
BNQ,Baganga Airport
BNR,Banfora Airport
BNS,Barinas Airport
BNT,Bundi Airport
BNU,Blumenau Airport
BNV,Boana Airport
BNW,Boone Municipal Airport
BNX,Banja Luka International Airport
BNY,Bellona/Anua Airport
BNZ,Banz Airport
BOA,Boma Airport
BOB,Bora Bora Airport
BOC,"Bocas del Toro ""Isla Colón"" International Airport"
BOD,Bordeaux–Mérignac Airport
BOE,Boundji Airport
BOG,El Dorado International Airport
BOH,Bournemouth Airport
BOI,Boise Air Terminal
BOJ,Burgas Airport
BOK,Brookings Airport
BOL,Ballykelly Airfield
BOM,Chhatrapati Shivaji International Airport
BON,Flamingo International Airport
BOO,Bodø Airport
BOP,Bouar Airport
BOQ,Boku Airport
BOS,Logan International Airport
BOT,Bosset Airport
BOU,Bourges Airport
BOV,Boang Island Airport
BOW,Bartow Municipal Airport
BOX,Borroloola Airport
BOY,Bobo Dioulasso Airport
BOZ,Bozoum Airport
BPB,Boridi Airport
BPC,Bamenda Airport
BPD,Bapi Airport
BPE,Qinhuangdao Beidaihe Airport
BPF,Batuna Airport
BPG,Barra do Garças Airport
BPH,Bislig Airport
BPI,Miley Memorial Field
BPK,Biangabip Airport
BPL,Bole Alashankou Airport
BPM,Begumpet Airport
BPN,Sultan Aji Muhammad Sulaiman Airport
BPS,Porto Seguro Airport
BPT,Jack Brooks Regional Airport
BPX,Qamdo Bamda Airport
BPY,Besalampy Airport
BQA,Dr. Juan C. Angara Airport
BQB,Busselton Margaret River Airport
BQE,Bubaque Airport
BQG,Bogorodskoye Airport
BQH,London Biggin Hill Airport
BQI,Bagani Airport
BQJ,Batagay Airport
BQK,Brunswick Golden Isles Airport
BQL,Boulia Airport
BQN,Rafael Hernández Airport
BQO,Tehini Airport
BQQ,Barra Airport
BQS,Ignatyevo Airport
BQT,Brest Airport
BQU,J. F. Mitchell Airport
BQV,Bartlett Cove Seaplane Base
BQW,Balgo Hill Airport
BRA,Barreiras Airport
BRB,Barreirinhas Airport
BRC,San Carlos de Bariloche Airport
BRD,Brainerd Lakes Regional Airport
BRE,Bremen Airport
BRH,Brahman Airport
BRI,Bari Karol Wojtyła Airport
BRJ,Bright Airport
BRK,Bourke Airport
BRL,Southeast Iowa Regional Airport
BRM,Jacinto Lara International Airport
